id,Province
1,فارس
2,خراسان رضوی
3,البرز
4,خوزستان
5,ایلام
6,قزوین
7,اصفهان
8,آذربایجان شرقی
9,تهران
10,گیلان
11,هرمزگان
12,لرستان
13,آذربایجان غربی
14,یزد
15,کرمان
