id,City,Province_id
1,جهرم,1
2,مشهد,2
3,کرج,3
4,بندر ماهشهر,4
5,ایلام,5
6,قزوین,6
7,اصفهان,7
8,تبریز,8
9,تهران,9
10,رشت,10
11,پردیس,9
12,کیش,11
13,اهواز,4
14,شهر جدید هشتگرد,3
15,سهند,8
16,شهرک ابریشم,3
17,فولاد شهر,7
18,ماهدشت,3
19,قلعه سحر,4
20,شیراز,1
21,شهرجدیدصدرا,1
22,خرم آباد,12
23,مجلسی,7
24,بهارستان,7
25,بندرعباس,11
26,ارومیه,13
27,نظر آباد,3
28,رودهن,9
29,چهارباغ,3
30,اسکو,8
31,دزفول,4
32,یزد,14
33,کرمان,15
34,محمدیه,6
35,البرز,6
36,رفسنجان,15
